timestamp,j1,j2,j3,j4,j5,j6,j7
1682116563.212517,-1.8000042091829942,81.79998119945785,0.0,119.99999413330205,-14.99997778074544,50.64998475158039,-44.99999063801583
1682116569.2272758,-1.8000042091829942,0.03053865048047288,0.0,119.99999413330205,-0.005614986392282068,50.64998475158039,-44.99999063801583
1682116569.2282138,-1.8000042091829942,0.03053865048047288,0.0,119.99999413330205,-0.005614986392282068,50.64998475158039,-44.99999063801583
1682116569.2299578,-1.8000042091829942,0.0,0.0,119.99999413330205,-0.0,50.64998475158039,-44.99999063801583
1682116569.231652,-1.8000042091829942,0.0,0.0,119.99999413330205,-0.0,50.64998475158039,-44.99999063801583
1682116569.2324228,-1.8000042091829942,0.0,0.0,119.99999413330205,-0.0,50.64998475158039,-44.99999063801583
1682116569.2332938,-1.8000042091829942,0.0,0.0,119.99999413330205,-0.0,50.64998475158039,-44.99999063801583
1682116569.2345812,-1.8000042091829942,0.0,0.0,119.99999413330205,-0.0,50.64998475158039,-44.99999063801583
1682116569.235316,-1.8000042091829942,0.0,0.0,119.99999413330205,-0.0,50.64998475158039,-44.99999063801583
1682116569.2364564,-1.8000042091829942,0.0,0.0,119.99999413330205,-0.0,50.64998475158039,-44.99999063801583
1682116569.237387,-1.8000042091829942,0.0,0.0,119.99999413330205,-0.0,50.64998475158039,-44.99999063801583
1682116569.2387195,-1.8000042091829942,0.0,0.0,119.99999413330205,-0.0,50.64998475158039,-44.99999063801583
1682116569.2402084,-1.8000042091829942,0.0,0.0,119.99999413330205,-0.0,50.64998475158039,-44.99999063801583
1682116569.2415202,-1.8000042091829942,0.0,0.0,119.99999413330205,-0.0,50.64998475158039,-44.99999063801583
1682116569.2444298,-1.8000042091829942,0.0,0.0,119.99999413330205,-0.0,50.64998475158039,-44.99999063801583
1682116569.2453592,-1.8000042091829942,0.0,0.0,119.99999413330205,-0.0,50.64998475158039,-44.99999063801583
1682116569.2481031,-1.8000042091829942,0.0,0.0,119.99999413330205,-0.0,50.64998475158039,-44.99999063801583
1682116569.2509997,-1.8000042091829942,0.0,0.0,119.99999413330205,-0.0,50.64998475158039,-44.99999063801583
1682116569.2542813,-1.8000042091829942,0.0,0.0,119.99999413330205,-0.0,50.64998475158039,-44.99999063801583
1682116569.2561579,-1.8000042091829942,0.0,0.0,119.99999413330205,-0.0,50.64998475158039,-44.99999063801583
